"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"EK","GRID","Gods Covenant Model College","EKSADO12","Tertiary","Standard","Private","Formal","School","490eb31c-85a1-4b80-94f7-9b43cfdc7b8c","u_fc_poi_school.30402",,,"POINT (5.214695 7.66929)"
"EK","GRID","Gods Excellence International School","EKSADO13","Tertiary","Standard","Private","Formal","School","492dce50-2b85-4b8c-b707-b878199d5afd","u_fc_poi_school.30450",,,"POINT (5.2132833 7.592045)"
"NI","OSGOF","School Of Mid Wifery Tungar Fita Sarki","NISMNA11","Tertiary","Adult Education","Public","Formal","School","498c1faf-136b-4470-9b53-371d80c469cf","u_fc_poi_school.30594",,,"POINT (6.56056 9.59503)"
"GO","GRID","Lamido School Of Hygiene And Health Science","GMSYDB07","Tertiary","Standard","Public","Formal","School","4ae16a4b-cc4c-43a1-9bfd-90818721804b","u_fc_poi_school.31154",,,"POINT (11.233535 10.27318)"
"KN","NMIS","Gaya Islamic Computer Center","KN1604","Tertiary","Adult Education","Public","Formal","School","4b0e0d70-cf06-4b06-806b-1dc709a61a1d","u_fc_poi_school.31227",,,"POINT (8.990307 11.86665)"
"KO","NMIS","Community Development Training Centre","KGSERE02","Tertiary","Adult Education","Public","Formal","School","4b1328f7-bb78-48ab-92a7-272c014d388a","u_fc_poi_school.31234",,,"POINT (5.546365 8.248383)"
"LA","GRID","University Of Lagos","LASLMD02","Tertiary","University","Public","Formal","School","4bde973f-16bf-4afb-b708-3b9262a7d33e","u_fc_poi_school.31598",,,"POINT (3.3852668 6.5173673)"
"NA","OSGOF","Federal Polytechnic Nasarawa","NASNSW08","Tertiary","Adult Education","Public","Formal","School","4c1572cd-6aaf-4004-a217-0616fefe9d10","u_fc_poi_school.31690",,,"POINT (7.71772 8.56523)"
"AB","GRID","Covenant Polytechnic Owerrinta","ABSMBA03","Tertiary","Standard","Private","Formal","School","4c68e196-df9a-4c4a-9a44-415798d38054","u_fc_poi_school.31810",,,"POINT (7.2993767 5.291295)"
"KO","NMIS","Government Technical College Mopa","KGSMPA07","Tertiary","Adult Education","Public","Formal","School","4c88c197-785b-4d2c-a0f5-6a4f7dc0cff4","u_fc_poi_school.31863",,,"POINT (5.902815 8.073972)"
"FC","NMIS","Adult and Non Formal Education","FCTKUJ09","Tertiary","Adult Education","Public","Formal","School","4c9f7bda-fe32-4c0a-8b53-c988bb6f3d32","u_fc_poi_school.31895",,,"POINT (6.986645 8.49027)"
"GO","GRID","Mayafi Model Academy","GMSAKK02","Tertiary","Standard","Public","Formal","School","4ce2cbc6-386b-45cd-abfa-f9a325efece2","u_fc_poi_school.31994",,,"POINT (11.161515 10.2633967)"
"EK","GRID","Harmony Model Academy","EKSIKE11","Tertiary","Standard","Private","Formal","School","4d1e91e5-e893-4d04-a02a-b170a5305793","u_fc_poi_school.32098",,"20","POINT (5.5188333 7.79671)"
"FC","OSGOF","University Of Abuja Gwagwalada","FCTGWA08","Tertiary","University","Public","Formal","School","4d1ef261-c575-424c-b967-1c5af93b2110","u_fc_poi_school.32101",,,"POINT (7.07249 8.95198)"
