"state_code","source","name","ward_code","category","subtype","management","education","poi_type","global_id","id","no_of_teachers","no_of_students","Geometry"
"KN","NMIS","Government Arabic Secondary School Gaya","KN1604","Secondary","Standard","Public","Religious","School","a4c0075c-b5ff-41e5-adda-ccdca2e8fecc","u_fc_poi_school.69150",,,"POINT (9.005983 11.87079)"
"KT","NMIS","Shibdawa Islamiyya","40509","Primary","Primary","Public","Religious","School","a51b07b1-8ccd-4b61-99ea-1c1f81f891d6","u_fc_poi_school.69306",,,"POINT (7.8035862 12.7507724)"
"BA","NMIS","Wali Islamaiyya","BA0803","Primary","Standard","Private","Religious","School","a51f11c1-3e6a-458b-a933-9eaee9370326","u_fc_poi_school.69313",,,"POINT (9.7649 10.6888333)"
"KW","NMIS","Mondirasat Nurudeen Islamiyat School","KWSAFN08","Secondary","Aggregate","Private","Religious","School","a5329bcb-4fae-4a18-939f-02143d8263aa","u_fc_poi_school.69347",,,"POINT (4.583 8.164983)"
"KN","NMIS","Muftahul Kairi Islamiyya","KN0601","Primary","Primary","Public","Religious","School","a56e7f5f-5d36-475a-9f8d-d717830bd4eb","u_fc_poi_school.69458",,,"POINT (8.695874 11.63568)"
"JI","NMIS","Junior Secondary School Nanimawa Karama","JI2402","Secondary","Junior","Public","Religious","School","a5a3f27d-13f1-49dd-a619-31c1b39d8a39","u_fc_poi_school.69536",,,"POINT (8.230648 12.6389818)"
"KN","NMIS","Kauyen Dodo Islamiyya","KN3707","Primary","Primary","Public","Religious","School","a5a8aa1d-8762-4cec-9da5-59905077627e","u_fc_poi_school.69540",,,"POINT (9.184982 11.41479)"
"KN","NMIS","Umar Bn Khattab Islamiyya","KN1310","Primary","Primary","Public","Religious","School","a5c7aa70-c758-48d7-b641-7c2e20e564ff","u_fc_poi_school.69585",,,"POINT (8.884522 12.10283)"
"KT","NMIS","Madarasatul Nurul Huda","40904","Primary","Primary","Public","Religious","School","a5ee61b3-3739-4ffe-bf60-7874547aeecb","u_fc_poi_school.69643",,,"POINT (7.3378545 12.2615003)"
"KN","NMIS","Yar Titi Islamiyya School","KN0309","Primary","Primary","Public","Religious","School","a60f770a-7729-44d2-a2ec-0045cb8e0f9a","u_fc_poi_school.69695",,,"POINT (8.011598 12.0714)"
"SO","NMIS","Marhumu Marafa Mahe Islamiyya School","62303","Primary","Pre Primary","Private","Religious","School","a63b9d52-0db7-4523-9d66-8af8c359936e","u_fc_poi_school.69781",,,"POINT (4.8235828 12.7996945)"
"SO","NMIS","Madarsatul Ursatul Hairiya Salme","60710","Primary","Standard","Public","Religious","School","a6b23514-c05c-4ab4-a301-33808298e49e","u_fc_poi_school.69994",,,"POINT (5.4107536 13.3711806)"
"KN","NMIS","Khulafaul Rashidin Islamiyya","KN1610","Primary","Primary","Public","Religious","School","a6ec1ed9-7800-458f-96f9-01c45b17f7f7","u_fc_poi_school.70083",,,"POINT (8.891929 11.80395)"
