,id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teachers,no_of_students,global_id,geometry
1054,u_fc_poi_school.58401,KN,NMIS,Yushau Nurul Huda Islamiyya,KN4109,Primary,Primary,Public,Religious,School,,,8b282f46-4456-439f-b410-854d29182fe8,POINT (8.371390999999999 11.28165)
1055,u_fc_poi_school.58467,KW,NMIS,Chief Imam Quranic School,KWSLAF09,Primary,Standard,Private,Religious,School,,,8b4fb761-c457-4c7d-b476-4691d68ad086,POINT (4.962472 9.064776)
1056,u_fc_poi_school.58503,KN,NMIS,Mallan Nuhu Islamiyya Primary,KN3108,Primary,Primary,Public,Religious,School,,,8b64e0ad-0d42-44da-b57d-a3b7df236c9d,POINT (8.545264 12.03673)
1057,u_fc_poi_school.58530,KT,NMIS,Madarasatul Tartilul Quran,40904,Primary,Primary,Public,Religious,School,,,8b736c50-d895-42ba-83a6-28ccdbc7352b,POINT (7.3340657 12.2615688)
1058,u_fc_poi_school.58759,KN,NMIS,Wazo Islamiyya School,KN4312,Primary,Primary,Public,Religious,School,,,8bf81151-dc71-4de0-89b0-17fa598749a1,POINT (8.68587 11.96621)
1059,u_fc_poi_school.58827,BA,NMIS,Islamiya Primary School Gabanga,BA1905,Primary,Primary,Private,Religious,School,,,8c1c77bf-c8a0-4343-a4d8-338b7d983231,POINT (9.7894717 11.2249884)
1060,u_fc_poi_school.58831,KN,NMIS,Sheik Jibirin Islamiyya,KN3011,Primary,Primary,Public,Religious,School,,,8c1e2c5a-7e89-4b2c-a0bb-764609704d36,POINT (8.69538 12.17414)
1061,u_fc_poi_school.58899,KN,NMIS,Sharif Abba Islamiyya,KN1402,Primary,Primary,Public,Religious,School,,,8c41d35e-ec90-4390-bf51-7834c30e0cda,POINT (8.856750999999999 11.56863)
1062,u_fc_poi_school.58935,KN,NMIS,Nazaki Islamiyya School,KN3303,Primary,Primary,Public,Religious,School,,,8c5dc289-cca2-4d88-bca9-bc14ad2913a3,POINT (8.189012999999999 11.99527)
1063,u_fc_poi_school.58984,ZA,OSGOF,Islamiya School Gidan Shaho,81411,Other,Standard,Faith Based,Religious,School,,,8c7a840b-6680-47d5-8363-d12c0ed154a3,POINT (6.75535 12.80502)
1064,u_fc_poi_school.58995,KN,NMIS,Tamburawa Islamiyya,KN1908,Primary,Primary,Public,Religious,School,,,8c7fe525-6a09-4103-9469-b55a101420df,POINT (7.86903 11.90144)
1065,u_fc_poi_school.59428,SO,NMIS,Makara Tar Mal Bello,62308,Primary,Pre Primary,Private,Religious,School,,,8d8fa43d-dc77-47a1-9b6e-f55d17c3b7f3,POINT (4.8043996 12.7479655)
1066,u_fc_poi_school.59432,KN,NMIS,Muftahul Khair Islamiyya,KN1101,Primary,Primary,Public,Religious,School,,,8d90bea8-876e-4f02-b177-5308e7fe6856,POINT (8.591369 10.67624)
1067,u_fc_poi_school.59504,KN,NMIS,Nurul Hudda Islamiya Barge,KN0604,Primary,Primary,Public,Religious,School,,,8db97025-1228-4c28-bcdf-82569e5f42d0,POINT (8.492139999999999 11.59154)
1068,u_fc_poi_school.59606,KN,NMIS,Sauna Islamiyya,KN1307,Primary,Primary,Public,Religious,School,,,8dfd5642-7944-4920-a3a4-b08ef6012589,POINT (8.725944999999999 12.23677)
1069,u_fc_poi_school.59614,KN,NMIS,Haido Junior Secondary Islamiyya,KN1203,Primary,Primary,Public,Religious,School,,,8e0267d0-2ae4-431a-b25e-fb05f3a1fe6b,POINT (8.530706 12.00958)
1070,u_fc_poi_school.59713,ZA,NMIS,Girls Focal Primary School Moriki,81408,Primary,Primary,Public,Religious,School,,,8e3be594-6121-4769-9b03-f64faeeacfdc,POINT (6.487754 12.8773713)
1071,u_fc_poi_school.59714,KN,NMIS,Zabaran Islamiyya,KN1402,Primary,Primary,Public,Religious,School,,,8e3bf73d-2b18-45b7-895a-e77f16a3ff49,POINT (8.868086 11.52655)
1072,u_fc_poi_school.59758,KN,NMIS,Tarbiyatul Aulad Islamiyya Koya,KN3001,Primary,Primary,Public,Religious,School,,,8e58a57e-d2c0-4764-9603-939269ee20b8,POINT (8.619716 12.12176)
1073,u_fc_poi_school.59820,KN,NMIS,Kare Islamiya,KN0309,Primary,Primary,Public,Religious,School,,,8e82d9fe-489d-4b9f-9b16-d22a1880a57f,POINT (8.005394000000001 12.1406)
1074,u_fc_poi_school.59932,KN,NMIS,Mutalib Islamiya,KN0506,Primary,Primary,Public,Religious,School,,,8ebbcdad-6b4a-4821-897e-771a5ee17fca,POINT (8.390402 12.30583)
1075,u_fc_poi_school.59984,KT,OSGOF,Isilamiyya School,42309,Other,Standard,Faith Based,Religious,School,,,8eda01fc-bf88-4690-bdc9-a1c1bb6d0c7e,POINT (7.92791 12.3696)
1076,u_fc_poi_school.60019,KT,OSGOF,Tsauwawa Isilamiyya School,42303,Other,Standard,Faith Based,Religious,School,,,8eeb6d29-38fc-4aa6-9c79-125927907d1a,POINT (7.99029 12.54633)
1077,u_fc_poi_school.60021,KT,OSGOF,Islamic School Dabai,40801,Other,Standard,Faith Based,Religious,School,,,8eebe5c4-3a99-4f80-84b2-8e8e72d0baa5,POINT (7.63311 11.3711)
1078,u_fc_poi_school.60078,KT,NMIS,Makarantar Malam Sani Alaramma,43001,Primary,Primary,Public,Religious,School,,,8f0ddb6c-5453-4032-8117-bbd2da928fb3,POINT (7.6578805 12.8733759)
1079,u_fc_poi_school.60170,KN,NMIS,Balan Islamiyya Primary School,KN2005,Primary,Primary,Public,Religious,School,,,8f4ed532-079a-4336-a106-7e075b2e7313,POINT (8.162124 11.91259)
1080,u_fc_poi_school.60253,BR,OSGOF,Goni Kurmi Central Mosque Islamiya,10308,Other,Standard,Unknown,Religious,School,,,8f8738b3-3b5f-405d-99ec-1ec94160f880,POINT (13.63094 11.47473)
1081,u_fc_poi_school.60256,KB,NMIS,Usman Magawa Nizzamiya Primary School,51203,Primary,Primary,Public,Religious,School,,,8f8a5604-f4b8-4397-bcf5-3cf4f5074269,POINT (4.029017 12.3553137)
1082,u_fc_poi_school.60274,KN,NMIS,Sakafatul Gilma Islamiya,KN3110,Primary,Primary,Public,Religious,School,,,8f984924-2a67-41e0-993c-7e87fa8729b1,POINT (8.557674 12.02565)
1083,u_fc_poi_school.60305,KN,NMIS,Abdullahi Aliyu Inuwa Islamiyya,KN3104,Other,Other,Faith Based,Religious,School,,,8faa892e-1eda-4149-a43c-20650be5f4ca,POINT (8.572592999999999 11.98251)
1084,u_fc_poi_school.60345,JI,NMIS,Normadic Primary School,JI2403,Primary,Primary,Public,Religious,School,,,8fc683c0-81a4-46c0-b173-c65a467bb39e,POINT (8.3308783 12.633646)
1085,u_fc_poi_school.60390,KN,NMIS,Nurundeen Islamiya,KN4007,Primary,Primary,Public,Religious,School,,,8fdfa847-a0ad-4dc6-ae1d-57a161597bfc,POINT (7.988448 12.29601)
1086,u_fc_poi_school.60422,KN,NMIS,Sidda Zango Islamiyya,KN3708,Primary,Primary,Public,Religious,School,,,8ff02eed-0c93-4bf0-9c00-2e9ae9ae5c5f,POINT (9.064003 11.54553)
