,id,state_code,source,name,ward_code,category,subtype,management,education,poi_type,no_of_teachers,no_of_students,global_id,geometry
545,u_fc_poi_school.65249,BE,NMIS,Government Science and Technical College Ipari,BNSBGT02,Tertiary,Adult Education,Public,Formal,School,,,9b76e3ab-8f1a-48f5-acd3-6d8d17d1576a,POINT (7.660421 7.101041)
546,u_fc_poi_school.65353,ED,Proxy Logistics,Auchi Teachers College,EDSAUC02,Tertiary,Adult Education,State Government,Formal,School,,,9bc0db7f-02ae-4620-b140-a273ef92c617,POINT (6.251551 7.0553666)
547,u_fc_poi_school.65366,AB,GRID,Valley View Polytechnic,ABSHAF10,Tertiary,Standard,Private,Formal,School,,,9bc6fbe6-9a5f-406a-8063-383895f78001,POINT (7.8245333 5.6041767)
548,u_fc_poi_school.65395,ZA,OSGOF,Ifad Adult Education Class Maraken Gabas,81311,Tertiary,Adult Education,Private,Informal,School,,,9bd8e80e-f46b-470e-9c46-80c938b4664d,POINT (7.00384 12.04215)
549,u_fc_poi_school.65437,AB,NMIS,Comprehensive Technical College,ABSBND08,Tertiary,Adult Education,Private,Formal,School,,,9bf00f59-0003-4bf5-8549-dbf249091229,POINT (7.637067 5.739771)
550,u_fc_poi_school.65522,NI,OSGOF,College Of Education Shango Shango,NISMNA11,Tertiary,Adult Education,Public,Formal,School,,,9c28925e-f041-4a72-ad30-b78cdc9e7335,POINT (6.57028 9.57597)
551,u_fc_poi_school.65605,OG,eHA Polio,Federal University Of Agriculture Abeokuta,OGSODA01,Tertiary,University,Public,Formal,School,,,9c5b38e4-3900-4fba-a0c6-181538cb7f0e,POINT (3.4509133 7.226705)
552,u_fc_poi_school.65672,BY,NMIS,Community School Dukugbene,BYSSPR14,Tertiary,Adult Education,Public,Formal,School,,,9c830f05-57ad-4f87-bcd2-c28e3f5d2c19,POINT (6.147285 4.679001)
553,u_fc_poi_school.65718,IM,GRID,Imo State College Of Education,IMSEBM05,Tertiary,Adult Education,Public,Formal,School,,,9ca324e3-3edb-4021-b548-886699cc1735,POINT (6.8002817 5.5402783)
554,u_fc_poi_school.65779,DE,GRID,Admiralty University,DTSGWK06,Tertiary,University,Public,Formal,School,,,9cc6a4c9-094b-4dad-8821-70c7c2cdf7b8,POINT (6.57215 6.1641)
555,u_fc_poi_school.65950,LA,GRID,Anchor University,LASAMO14,Tertiary,University,Private,Formal,School,,,9d27c744-b1c8-4875-a6a1-1f34fe386107,POINT (3.24253 6.60076)
556,u_fc_poi_school.65972,AB,OSGOF,Veritas University Obehie,ABSKKE23,Tertiary,University,Public,Formal,School,,,9d3616bc-0314-44c4-8939-cc403587ebe2,POINT (7.25186 4.9339)
557,u_fc_poi_school.66081,CR,GRID,Stem Academy College Of Science And Mathematics,CRSKMM01,Tertiary,Standard,Private,Formal,School,,,9d757542-a942-4bdb-9691-4d0a86608014,POINT (8.655553299999999 6.006725)
558,u_fc_poi_school.66406,AB,GRID,National Institute For Nigerian Languages,ABSNGK05,Tertiary,Tertiary,Public,Formal,School,,,9e2decca-533f-45d6-bd60-d92f0d5e00d8,POINT (7.430985 5.0598567)
559,u_fc_poi_school.66524,SO,NMIS,Islamiyya Magaji,61502,Tertiary,Adult Education,Public,Religious,School,,,9e84f320-6dfa-4cad-b071-0e0f12538ae5,POINT (4.7329219 12.9436886)
560,u_fc_poi_school.66587,OG,eHA Polio,College Of Education Study Center,OGSION07,Tertiary,Adult Education,Public,Formal,School,,,9ea6e973-99fd-41c2-9eff-93eec8a52a33,POINT (2.8405433 7.440635)
561,u_fc_poi_school.66728,GO,GRID,Ilimi International School,GMSGME01,Tertiary,Standard,Public,Formal,School,,,9ef0cfb0-a9be-4e63-a069-2a0b3d7bc624,POINT (11.1541217 10.297615)
562,u_fc_poi_school.67263,EB,GRID,Champions Theological Institute,EBSUGB05,Tertiary,Adult Education,Private Faith Based,Formal,School,,,a03acd77-e278-45d2-85a0-8edb5f65424e,POINT (8.0839467 6.346515)
563,u_fc_poi_school.67484,BA,NMIS,Higher Islamic School Burra,BA1508,Tertiary,Adult Education,Private,Integrated,School,,,a0c29c41-be08-4d74-b9ad-c77578a2de0a,POINT (8.9021417 11.0174045)
564,u_fc_poi_school.67534,EK,GRID,Mustard Grain Academy,EKSADO13,Tertiary,Standard,Private,Formal,School,,,a0e232cc-f82a-4880-994b-12eda2c7c9aa,POINT (5.21379 7.5945183)
565,u_fc_poi_school.67830,DE,Proxy Logistics,State School of Nursing,DTSWWR08,Tertiary,Adult Education,State Government,Formal,School,,,a1a31a38-9b50-45a6-879b-ee416a8d0239,POINT (5.7401192 5.5203485)
566,u_fc_poi_school.67848,KW,GRID,Kwara State College Of Education Lafiagi,KWSLAF02,Tertiary,Adult Education,Public,Formal,School,,,a1ae0e8c-2b4d-4e5b-88dd-24488263b472,POINT (5.4002087 8.8370759)
567,u_fc_poi_school.67854,GO,OSGOF,Goodshepherd Academy School,GMSGME10,Tertiary,Adult Education,Public,Formal,School,,,a1b2cc1e-50bb-40ef-85d5-e69fd42a3450,POINT (11.18609 10.27203)
568,u_fc_poi_school.67952,OG,eHA Polio,Tai Solarin University Of Education Ijagun,OGSOGU13,Tertiary,University,Public,Formal,School,100.0,3000.0,a1f45fba-e2ca-43c7-8d3e-7e98b4981250,POINT (3.9239467 6.7828133)
569,u_fc_poi_school.68005,TA,GRID,Full Gospel School Of Theology,TRSWKR02,Tertiary,Standard,Faith Based,Formal,School,,,a214598c-de6e-4538-b7de-05047e35e642,POINT (9.759773900000001 7.8759647)
570,u_fc_poi_school.68181,SO,NMIS,Kaurataba Islamia School,62307,Tertiary,Adult Education,Private,Religious,School,,,a27bfdfe-a7f5-4e7a-a98e-bf74cff6fa7d,POINT (5.0917014 12.7373863)
571,u_fc_poi_school.68251,EK,GRID,Future Star Academy,EKSADO06,Tertiary,Standard,Private,Formal,School,15.0,52.0,a2a9e09e-2466-4677-8af4-aaf0ae6673b4,POINT (5.18809 7.6031433)
572,u_fc_poi_school.68290,AB,GRID,Clifford University Owerrinta,ABSMBA04,Tertiary,University,Private,Formal,School,,,a2c1925a-3ec2-4f27-a16a-ed9c01e2a756,POINT (7.2998615 5.294945)
573,u_fc_poi_school.68347,EK,GRID,Grace International Group Of School,EKSADO05,Tertiary,Standard,Private,Formal,School,,,a2e307dc-f073-41a1-ad92-c8a3818b72f1,POINT (5.2115367 7.5721133)
574,u_fc_poi_school.68349,RI,NMIS,Government Craft Center Umuosi,RVSAFM04,Tertiary,Adult Education,Public,Formal,School,,,a2e48f14-9578-444b-b168-6ff50d596ba0,POINT (7.299148 4.861494)
575,u_fc_poi_school.69110,YO,NMIS,Government Day Junior Secondary School,70204,Tertiary,Adult Education,Public,Formal,School,,,a49df7ae-c5c3-4aee-ab0e-f4d06ad0bcf2,POINT (11.1709898 12.8947335)
576,u_fc_poi_school.69293,KT,OSGOF,Isa Kaita Colleg Of Education,41204,Tertiary,Adult Education,Public,Formal,School,,,a5148c87-24be-4ea3-809c-5b117ca270c6,POINT (7.49196 12.43791)
577,u_fc_poi_school.69362,GO,GRID,Federal College Of Education Technical Gombe,GMSGME11,Tertiary,Standard,Public,Formal,School,,,a53adf86-50ea-4c8e-b45b-32e213e87095,POINT (11.145995 10.315115)
